sku,status,old_eur,new_eur,delta_eur,delta_pct,db_slug,title
BIG-200SV-Gen2-r,CHANGED,4556.37,5551.07,994.7,21.8,do88-big-200sv-gen2-r,"BigPack Porsche 911 Turbo (991.2) 2015- with inlets"
ICM-400,CHANGED,4895.22,5585.77,690.55,14.1,do88-icm-400,"Porsche 911 Turbo (992.1) Intercooler kit"
ICM-500,CHANGED,4233.72,4830.96,597.24,14.1,do88-icm-500,"do88 Intercooler MERA, Audi RS6 RS7 8C"
ICM-430-G,CHANGED,3308.23,3774.94,466.71,14.1,do88-icm-430-g,"do88 Charge Cooler Manifold MERA, BMW G-Serie (B58) / Toyota GR Supra A90"
ICM-440-G,CHANGED,3305.58,3771.91,466.33,14.1,do88-icm-440-g,"do88 Charge Cooler Manifold MERA, BMW F-Serie (B58)"
ICM-510-r,CHANGED,3125.58,3566.5,440.92,14.1,do88-icm-510-r,"Porsche 911 Carrera (991.2) Intercooler kit MERA for do88 Y-pipe"
ICM-470,CHANGED,2898.14,3307.02,408.88,14.1,do88-icm-470,"do88 Performance Intercooler Long-Neck, Porsche 911 Turbo (930)"
ICM-440-K,CHANGED,2060.09,2350.71,290.62,14.1,do88-icm-440-k,"do88 Charge Cooler Manifold, BMW F-Serie (B58)"
ICM-430-K,CHANGED,2060,2350.59,290.59,14.1,do88-icm-430-k,"do88 Charge Cooler Manifold, BMW G-Serie (B58) / Toyota GR Supra A90"
LF-300-S-r,CHANGED,2792.48,3037.47,244.99,8.8,do88-lf-300-s-r,"do88 Intake System Carbon Fiber Audi RS6 RS7 C8"
ICM-420,CHANGED,1499.65,1711.16,211.51,14.1,do88-icm-420,"Audi RS3 8V 8Y Intercooler MERA"
BIG-310-T,MINOR,5647.43,5858.27,210.84,3.7,do88-big-310-t,"BigPack Porsche 911 Turbo (992.1)"
LF-270,CHANGED,2272.74,2472.19,199.45,8.8,do88-lf-270,"do88 Intake system, BMW M2 M3 M4 G80 G82 G87 (S58)"
BIG-310-Cr,MINOR,5123.27,5314.66,191.39,3.7,do88-big-310-cr,"BigPack Porsche 911 Carrera (992.1) for SportDesign"
ICM-360-Cr,MINOR,4860.62,5042.19,181.57,3.7,do88-icm-360-cr,"Porsche 911 Carrera (992.1) Intercooler kit for SportDesign"
BIG-200SV-Gen1-r,MINOR,4556.37,4726.46,170.09,3.7,do88-big-200sv-gen1-r,"BigPack Porsche 911 Turbo (991.1) 2013-15"
ICM-270-do88r,MINOR,4298.23,4458.76,160.53,3.7,do88-icm-270-do88r,"Porsche 911 Turbo (991) Intercooler kit MERA for do88 Y-pipe"
BIG-130SIr,MINOR,4129.82,4284.06,154.24,3.7,do88-big-130sir,"BigPack Porsche 911 Turbo (997.2) Black Pipe"
BIG-140SIr,MINOR,4129.82,4284.06,154.24,3.7,do88-big-140sir,"BigPack Porsche 911 Turbo (997.1) Silver Pipe"
ICM-230-1-do88r,MINOR,3755.84,3896.09,140.25,3.7,do88-icm-230-1-do88r,"Porsche 911 Turbo (997.1) Intercooler kit MERA for do88 Y-pipe"
ICM-230-do88r,MINOR,3755.84,3896.09,140.25,3.7,do88-icm-230-do88r,"Porsche 911 Turbo (997.2) Intercooler kit MERA for do88 Y-pipe"
ICM-450-K,MINOR,2991.86,3109.12,117.26,3.9,do88-icm-450-k,"do88 Charge Cooler Manifold, BMW M2 M3 M4 G80 G82 G87 (S58)"
BIG-M3-DCT,MINOR,2797.43,2901.84,104.41,3.7,do88-big-m3-dct,"BigPack BMW M3 E90/E92 DKG DCT"
898200-5001W,MINOR,2660.09,2764.39,104.3,3.9,do88-898200-5001w,"AUDI VW 2.0 TSI EA888 (MQB) Stage 2 Turbo 600hp, Garrett POWERMAX"
LF-210-ST-66r,MINOR,2769.73,2873.14,103.41,3.7,do88-lf-210-st-66r,"Porsche 911 Turbo (992) Induction system, OE size/66mm outlet"
LF-120-B-OEMr,CHANGED,266.31,367.65,101.34,38.1,do88-lf-120-b-oemr,"VAG 1.8 2.0 TSI (MQB) V1 Intake system, Hose OEM, Blue hose"
BIG-380,MINOR,2433.27,2524.2,90.93,3.7,do88-big-380,"BigPack Audi RS3 8V 8Y"
LF-160-ST-66r,MINOR,2280.18,2365.25,85.07,3.7,do88-lf-160-st-66r,"Porsche 911 Carrera (992) Induction system, OE size/66mm outlet"
do88-kit249S-r,CHANGED,904.76,983.26,78.5,8.7,do88-do88-kit249s-r,"Porsche 911 Carrera (991.2) Turbo inlet hoses, OE turbo (Ø43,3)"
921474-5001S,MINOR,1982.74,2060.49,77.75,3.9,do88-921474-5001s,"MQBevo 2.0 TSI EA888 Gen4 Garrett PowerMax Turbo 550hp (280hp+ Continental OEM)"
917056-5002S,MINOR,1737.61,1805.72,68.11,3.9,do88-917056-5002s,"MQBevo 2.0 TSI EA888 Gen4 Garrett PowerMax Turbo 450hp (<245hp Garrett OEM)"
BIG-M3-Man,MINOR,1769.38,1835.46,66.08,3.7,do88-big-m3-man,"BigPack BMW M3 E90/E92 Manual"
BIG-350-S,MINOR,1719.12,1783.39,64.27,3.7,do88-big-350-s,"BigPack Toyota Yaris GR"
ICM-480,CHANGED,642.73,698.53,55.8,8.7,do88-icm-480,"do88 Intercooler VW Seat 1.8 TSI EA888"
898199-5001W,MINOR,1421.68,1477.41,55.73,3.9,do88-898199-5001w,"AUDI VW SEAT SKODA 2.0 TSI EA888 (MQB) Stage 1 Turbo 485hp, Garrett POWERMAX"
ICM-320,MINOR,1439.03,1492.78,53.75,3.7,do88-icm-320,"BMW F8X M2C M3 M4 Performance Intercooler"
ICM-200,MINOR,1324.07,1373.6,49.53,3.7,do88-icm-200,"Porsche 997.1 Turbo GT2 Intercooler"
ICM-390-S,MINOR,1313.1,1362.1,49,3.7,do88-icm-390-s,"Toyota Yaris GR Intercooler"
BIG-320r,MINOR,1287.35,1335.38,48.03,3.7,do88-big-320r,"BigPack SAAB 9-5 2.0t 2010-2011, Black hoses"
OC-110,MINOR,1265.04,1312.27,47.23,3.7,do88-oc-110,"BMW M3 E90 E92 DKG / DCT Oil cooler Racing"
BIG-340-3r,MINOR,1172.83,1216.6,43.77,3.7,do88-big-340-3r,"BigPack VAG 1.8 2.0 TSI (MQB), Blue hoses"
MK-120,CHANGED,515.8,558.14,42.34,8.2,do88-mk-120,"Audi RS3 8V.2 & 8Y / TTRS 8S Carbon fiber engine and manifold cover"
MK-160,CHANGED,475.1,514.8,39.7,8.4,do88-mk-160,"Carbon fiber engine cover, BMW M2 M3 M4 (S58)"
LF-150-SS,MINOR,1003.81,1041.39,37.58,3.7,do88-lf-150-ss,"BMW F8X M2C M3 M4 Intake system"
MK-140,CHANGED,401.14,434.69,33.55,8.4,do88-mk-140,"Carbon fiber engine cover, Toyota GR Supra A90 (B58)"
MK-110,CHANGED,383.48,414.99,31.51,8.2,do88-mk-110,"VW Golf MK7 GTI / R Carbon fiber engine cover"
MK-100,CHANGED,376.51,407.11,30.6,8.1,do88-mk-100,"VW Golf MK8 GTI / R Carbon fiber engine cover"
TR-150-OEMr,MINOR,551.21,578.39,27.18,4.9,do88-tr-150-oemr,"Porsche 997.1 Turbo Plenum, OEM throttle body"
TR-450-do88,MINOR,698.76,723.84,25.08,3.6,do88-tr-450-do88,"Porsche 911 Carrera (991.2) Y-Pipe"
IR-130S-48-OEM-R,CHANGED,175.62,196.6,20.98,11.9,do88-ir-130s-48-oem-r,"VAG 1.8/2.0 TSI (MQB) Turbo inletpipe, Black hose, OEM Turbo, OEM Airbox"
do88-kit213S-r,CHANGED,287.5,303.8,16.3,5.7,do88-do88-kit213s-r,"BMW 135i 335i 35i N55 2010-2013 (E9X E8X) Turbo Inlet hose 47mm"
do88-kit248S,CHANGED,67.74,83.79,16.05,23.7,do88-do88-kit248s,"Alpine A110 Inlet hose Black"
MK-170-1,CHANGED,179.52,194.36,14.84,8.3,do88-mk-170-1,"Carbon fiber ECU cover, BMW M2 M3 M4 G80 G82 G87 (S58)"
ACCDA100-220-01,MINOR,419.54,434.15,14.61,3.5,do88-accda100-220-01,"BMC CDA Carbon Dynamic Airbox, Carbon fiber, Connection 100mm, Length 224mm"
ICM-430-440-Kit,CHANGED,157.59,171.25,13.66,8.7,do88-icm-430-440-kit,"do88 Accessories for B58 Charge Cooler Manifold"
OC-180,MINOR,1041.45,1028.8,-12.65,-1.2,do88-oc-180,"Toyota Yaris GR Oil cooler for do88 Intercooler"
BIG-290-S,MINOR,1044.14,1031.56,-12.58,-1.2,do88-big-290-s,"BigPack BMW 135i 335i 35i N55 2010-2013 (E9X E8X)"
ICM-380-S,MINOR,1038.75,1026.18,-12.57,-1.2,do88-icm-380-s,"VAG 2.0 TSI EA888 Gen4 Intercooler"
ICM-380-VZ5,MINOR,1038.75,1026.18,-12.57,-1.2,do88-icm-380-vz5,"do88 Intercooler, CUPRA Formentor VZ5"
do88-kit179S-r,MINOR,954.1,942.62,-11.48,-1.2,do88-do88-kit179s-r,"Porsche 911 Turbo (991) 2013- Turbo inlet hoses"
LF-190-CF,MINOR,937.2,925.84,-11.36,-1.2,do88-lf-190-cf,"do88 V2 Intake System Carbon Fiber VAG EA888"
OC-100,MINOR,929.58,918.39,-11.19,-1.2,do88-oc-100,"BMW M3 E90 E92 Engine oil cooler Racing"
BIG-270-S,MINOR,921.86,910.74,-11.12,-1.2,do88-big-270-s,"BigPack BMW 135i 335i 35i N54 2007-2010 (E9X E8X)"
