page,tier,brand,model,year_range,engine,section,sku,material,description,price_kind,msrp_usd,import_fee_usd,retail_usd,matched_summary_label,remarks
4,Premium Products,Ferrari,Purosangue,2023 - Current,,Downpipe,0FPSG-A0NM0-3,SS,Catted Downpipe ※OPF Version,absolute,7500.0,1600,9100.0,,※Changing Catted Downpipe won't cause CEL( iPE provide warranty for CEL) | ※This model is only compatible with the factory valve control system
4,Premium Products,Ferrari,Purosangue,2023 - Current,,Cat Back System,0FPSG-TNVN00-2,Ti,Titanium Cat Back System (H Pipe),absolute,11000.0,1600,12600.0,,※Changing Catted Downpipe won't cause CEL( iPE provide warranty for CEL) | ※This model is only compatible with the factory valve control system
4,Premium Products,Ferrari,Purosangue,2023 - Current,,Full System,0FPSG-AVNM0-1,SS+Ti,Catted Downpipe with Titanium Cat Back System (X Pipe) ※OPF Version,absolute,18500.0,1600,20100.0,,※Changing Catted Downpipe won't cause CEL( iPE provide warranty for CEL) | ※This model is only compatible with the factory valve control system
4,Premium Products,Ferrari,Purosangue,2023 - Current,,,1FPURO-03-N0AM-7S,SS+Ti,Tips (Satin Silver),absolute,4000.0,1500,5500.0,,※Changing Catted Downpipe won't cause CEL( iPE provide warranty for CEL) | ※This model is only compatible with the factory valve control system
4,Premium Products,Ferrari,Purosangue,2023 - Current,,Tips,1FPURO-03-N0AW-7S,SS+Ti,Tips (Chrome Black),absolute,4000.0,1500,5500.0,,※Changing Catted Downpipe won't cause CEL( iPE provide warranty for CEL) | ※This model is only compatible with the factory valve control system
4,Premium Products,Ferrari,Purosangue,2023 - Current,,,1FPURO-03-N0AZ-7S,SS+Ti,Tips (Satin Gold),absolute,4000.0,1500,5500.0,,※Changing Catted Downpipe won't cause CEL( iPE provide warranty for CEL) | ※This model is only compatible with the factory valve control system
4,Premium Products,Porsche,992 | GT3 / GT3 TOURING / GT3 RS,2021 - Current,,Pro Version Full System,1P92G3-AVFM0-1,SS,Full System + Tips (Satin Silver) ※ Pro Version (Equal-Length Headers with Cat) 992 (Cat Pipe),absolute,15800.0,1600,17400.0,,※This model is only compatible with the factory valve control system | ※Only available as a full system. Individual sections are not compatible with the factory exhaust | ※Installing an OPF version Catted or Catless Downpipe may cause a CEL (Check Engine Light). An ECU tune is required to clear it. CEL issues are not covered under warranty. | ※Compatible with both OPF and non-OPF models
4,Premium Products,Porsche,992 | GT3 / GT3 TOURING / GT3 RS,2021 - Current,,Pro Version Full System,1P92G3-BVFM0-1,SS,Full System + Tips (Satin Silver) ※ Pro Version (Equal-Length Headers with Catless),absolute,15000.0,1600,16600.0,,※This model is only compatible with the factory valve control system | ※Only available as a full system. Individual sections are not compatible with the factory exhaust | ※Installing an OPF version Catted or Catless Downpipe may cause a CEL (Check Engine Light). An ECU tune is required to clear it. CEL issues are not covered under warranty. | ※Compatible with both OPF and non-OPF models
4,Premium Products,Lamborghini,CEL sync | TBD | Revuelto,2024 - Current,,,0LRVT-A0N00-3,SS,Catted Downpipe,absolute,7000.0,1600,8600.0,,"※ONLY compatible with factory valve control system , can't install iPE remote control or OBDII | ※Please confirm OPF / non-OPF version before placing an order | ※OPF model changing to the catless downpipe / catback system may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
4,Premium Products,Lamborghini,CEL sync | TBD | Revuelto,2024 - Current,,Downpipe,0LRVT-B0N00-3,,Catless Downpipe,absolute,6000.0,1600,7600.0,,"※ONLY compatible with factory valve control system , can't install iPE remote control or OBDII | ※Please confirm OPF / non-OPF version before placing an order | ※OPF model changing to the catless downpipe / catback system may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
