brand,sku,slug,title,ourPriceUsd,ourPriceEur,sourceUrl,sourcePriceRaw,sourcePriceNum,sourceCurrency,deltaPct,matchOk,status,note
racechip,"RC-GTS5-HONDA-2-2-CTDI-2204CCM-140HP-103KW-340NM","racechip-gts5-honda-civic-viii-fd-a-n-k-2005-to-2012-2-2-ctdi-2204ccm-140hp-103kw-340nm","RaceChip GTS 5 — Honda Civic VIII FD/A/N/K (2005–2012) 2.2 Ctdi 2204cc",,538,"https://www.racechip.de/search?q=HONDA%202%202%20CTDI%202204CCM%20140HP%20103KW%20340NM","",,,,false,fetch-error,"HTTP 404"
racechip,"RC-GTS5-FIAT-1-9-JTD-1910CCM-90HP-66KW-200NM","racechip-gts5-fiat-stilo-192-2001-to-2010-1-9-jtd-1910ccm-90hp-66kw-200nm","RaceChip GTS 5 — Fiat Stilo 192 (2001–2010) 1.9 JTD 1910cc",,538,"https://www.racechip.de/search?q=FIAT%201%209%20JTD%201910CCM%2090HP%2066KW%20200NM","",,,,false,fetch-error,"HTTP 404"
racechip,"RC-GTS5-FIAT-1-3-D-MULTIJET-1248CCM-95HP-70KW-200NM","racechip-gts5-fiat-qubo-225-from-2008-1-3-d-multijet-1248ccm-95hp-70kw-200nm","RaceChip GTS 5 — Fiat Qubo 225 (2008+) 1.3 D MultiJet 1248cc",,558,"https://www.racechip.de/search?q=FIAT%201%203%20D%20MULTIJET%201248CCM%2095HP%2070KW%20200NM","",,,,false,fetch-error,"HTTP 403"
racechip,"RC-GTS5-FORD-2-0-ECOBLUE-MHEV-1995CCM-150HP-110KW-370NM","racechip-gts5-ford-kuga-iii-20-from-2019-2-0-ecoblue-mhev-1995ccm-150hp-110kw-370nm","RaceChip GTS 5 — Ford Kuga III 20 (2019+) 2.0 EcoBlue Mhev 1995cc",,628,"https://www.racechip.de/search?q=FORD%202%200%20ECOBLUE%20MHEV%201995CCM%20150HP%20110KW%20370NM","",,,,false,fetch-error,"HTTP 403"
racechip,"RC-GTS5-JAGUAR-2-0-D-1999CCM-180HP-132KW-430NM","racechip-gts5-jaguar-xe-760-from-2015-2-0-d-1999ccm-180hp-132kw-430nm","RaceChip GTS 5 — Jaguar XE 760 (2015+) 2.0 D 1999cc",,658,"https://www.racechip.de/search?q=JAGUAR%202%200%20D%201999CCM%20180HP%20132KW%20430NM","",,,,false,fetch-error,"HTTP 403"
csf,"8132","csf-8132","CSF 8132 Cooling Radiator QUADRUPLE PASS DSG for VAG MQB",,,"https://csfrace.com/products/8371-csf-universal-large-single-pass-oil-cooler-m22-x-1-5-12-0l-x-9-33h-x-2-16w","MSRP/MAP:
          
Regular price
            
              $499.00 USD
      ",499,USD,,false,invalid-match,"| scraper landed on same URL for 5 different SKUs — likely first-search-result, not real match"
csf,"8260","csf-8260","CSF 8260 Oil Cooler for PORSCHE 914-6 1970-1972",,,"https://csfrace.com/products/8371-csf-universal-large-single-pass-oil-cooler-m22-x-1-5-12-0l-x-9-33h-x-2-16w","MSRP/MAP:
          
Regular price
            
              $499.00 USD
      ",499,USD,,false,invalid-match,"| scraper landed on same URL for 5 different SKUs — likely first-search-result, not real match"
csf,"8317","csf-8317","CSF 8317 High-Performance Engine Oil Cooler for BMW M5 (G90 / F90 / F10) / M6 (F",,,"https://csfrace.com/products/8371-csf-universal-large-single-pass-oil-cooler-m22-x-1-5-12-0l-x-9-33h-x-2-16w","MSRP/MAP:
          
Regular price
            
              $499.00 USD
      ",499,USD,,false,invalid-match,"| scraper landed on same URL for 5 different SKUs — likely first-search-result, not real match"
csf,"8068","csf-8068","CSF 8068 High Performance Bar & Plate Intercooler Core 27x6x3 (Vertical Flow)",,,"https://csfrace.com/products/8371-csf-universal-large-single-pass-oil-cooler-m22-x-1-5-12-0l-x-9-33h-x-2-16w","MSRP/MAP:
          
Regular price
            
              $499.00 USD
      ",499,USD,,false,invalid-match,"| scraper landed on same URL for 5 different SKUs — likely first-search-result, not real match"
csf,"8166","csf-8166","CSF 8166 Intercooler Kit for PORSCHE 911 GT2RS (991) 2018-2019",,,"https://csfrace.com/products/8371-csf-universal-large-single-pass-oil-cooler-m22-x-1-5-12-0l-x-9-33h-x-2-16w","MSRP/MAP:
          
Regular price
            
              $499.00 USD
      ",499,USD,,false,invalid-match,"| scraper landed on same URL for 5 different SKUs — likely first-search-result, not real match"
do88,"B25G63","do88-b25g63","Blue Silicone Hose 25° 2.5"" (63 mm)",,31.3,"https://www.do88.se/en/sok?q=B25G63","",,,,false,fetch-error,"HTTP 404"
do88,"do88-kit10-r","do88-do88-kit10-r","Volvo 940 Turbo 92-98 Coolant Hoses",,140.77,"https://www.do88.se/en/sok?q=do88-kit10-r","",,,,false,fetch-error,"HTTP 404"
do88,"B45G83","do88-b45g83","Blue Silicone Hose 45° 3.25"" (83 mm)",,35.27,"https://www.do88.se/en/sok?q=B45G83","",,,,false,fetch-error,"HTTP 404"
do88,"AD89","do88-ad89","Air Hose 3.5"" (89 mm)",,68.11,"https://www.do88.se/en/sok?q=AD89","",,,,false,fetch-error,"HTTP 404"
do88,"RBR45G76-89","do88-rbr45g76-89","Red Silicone Hose 45° 3 - 3.5"" (76 - 89 mm)",,35.59,"https://www.do88.se/en/sok?q=RBR45G76-89","",,,,false,fetch-error,"HTTP 404"
girodisc,"D1-307","girodisc-d1-307-peredni-zminni-kiltsia-halmivnoho-dyska-dlia-bmw-z4-m40i-g29-toyota-gr-supra-a90","GIRODISC D1-307 Передні змінні кільця гальмівного диска for BMW Z4 M40i (G29) / ",1175.12,,"https://www.girodisc.com/catalogsearch/result/?q=D1-307","",,,,false,fetch-error,"HTTP 404"
girodisc,"D1-276","girodisc-d1-276-komplekt-zapasnykh-kilets-perednoho-rotora-dlia-porsche-911-992-gt3-gt3-rs","GIRODISC D1-276 Комплект запасних кілець переднього ротора for PORSCHE 911 (992)",1508.96,,"https://www.girodisc.com/catalogsearch/result/?q=D1-276","",,,,false,fetch-error,"HTTP 404"
girodisc,"D1-091","girodisc-d1-091-komplekt-zapasnykh-kilets-perednoho-rotora-dlia-ford-mustang-gt500-s197-2013-2014","GIRODISC D1-091 Комплект запасних кілець переднього ротора for FORD Mustang GT50",1175.12,,"https://www.girodisc.com/catalogsearch/result/?q=D1-091","",,,,false,fetch-error,"HTTP 404"
girodisc,"D1-147","girodisc-d1-147-komplekt-zapasnykh-kilets-perednoho-rotora-dlia-chevrolet-corvette-z06-c8","GIRODISC D1-147 Комплект запасних кілець переднього ротора for CHEVROLET Corvett",1175.12,,"https://www.girodisc.com/catalogsearch/result/?q=D1-147","",,,,false,fetch-error,"HTTP 404"
girodisc,"BCS-12","girodisc-bcs-12-komplekt-shpylok-perednoho-halmivnoho-suporta-z-menshymy-oem-dyskamy-dlia-porsche-911-gt3-turbo-996","GIRODISC BCS-12 Комплект шпильок переднього гальмівного супорта з меншими ОЕМ ди",213.66,,"https://www.girodisc.com/catalogsearch/result/?q=BCS-12","",,,,false,fetch-error,"HTTP 404"
adro,"A11A10-1302","adro-a11a10-1302","ADRO A11A10-1302 V2 Rear Diffuser for GENESIS G70 2019-",,,"https://adrocarbon.com/search?q=A11A10-1302","",,,,false,fetch-error,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://adrocarbon.com/search?q=A11A10-1302
Call log:
[2m  - navigating to ""https://adrocarbon.com/search?q=A11A10-1302"", waiting until ""domcontentloaded""[22"
adro,"A18A10-2101/A18A10-1202","adro-a18a10-2101-a18a10-1202","ADRO A18A10-2101/A18A10-1202 Facelift Style Front Bumper with Splitter for TOYOT",,,"https://adrocarbon.com/search?q=A18A10-2101%2FA18A10-1202","",,,,false,fetch-error,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://adrocarbon.com/search?q=A18A10-2101%2FA18A10-1202
Call log:
[2m  - navigating to ""https://adrocarbon.com/search?q=A18A10-2101%2FA18A10-1202"", waiting "
adro,"A16A10-1301","adro-a16a10-1301","ADRO A16A10-1301 Rear Diffuser for FORD Mustang EcoBoost / GT 2018-2023",,,"https://adrocarbon.com/search?q=A16A10-1301","",,,,false,fetch-error,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://adrocarbon.com/search?q=A16A10-1301
Call log:
[2m  - navigating to ""https://adrocarbon.com/search?q=A16A10-1301"", waiting until ""domcontentloaded""[22"
