Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,body (product.metafields.custom.body),brand (product.metafields.custom.brand),custom_price_eur (product.metafields.custom.custom_price_eur),model (product.metafields.custom.model),price_eur (product.metafields.custom.price_eur),vehicle (product.metafields.custom.vehicle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Дополняющие товары (product.metafields.shopify--discovery--product_recommendation.complementary_products),Сопутствующие товары (product.metafields.shopify--discovery--product_recommendation.related_products),Настройки сопутствующих товаров (product.metafields.shopify--discovery--product_recommendation.related_products_display),Продвижение товаров в поиске (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
urb-hoo-25353075-v1,"Карбонова накладка на капот Range Rover L494 з карбонового волокна (тільки стандартний капот, Sport або SVR, 2013-2022)","<p>Карбонова накладка на капот Range Rover L494 Visual Carbon Fibre top Vent Bonnet Overlay розроблена, щоб змінити зовнішній вигляд передньої частини вашого автомобіля за допомогою автентичного стилю з карбонового волокна. Спроектована з ювелірною точністю для моделей Range Rover L494, включаючи варіанти Sport і SVR, ця карбонова панель, виготовлена з високою точністю, забезпечує агресивне візуальне поліпшення, зберігаючи при цьому заводську функціональність капота.</p><p>Цей елемент стайлінгу є бездоганним втіленням філософії автоспорту, гармонійно поєднаної з британською вишуканістю повнорозмірного Luxury SUV. Візуальна конструкція з вуглецевого волокна додає глибини та текстури профілю вашого Range Rover, створюючи неповторний вигляд, який привертає увагу як на дорозі, так і на узбіччі.</p><p><br>Основні характеристики:<br></p><ul>
<li>Візуальна конструкція з вуглецевого волокна з автентичним візерунком плетіння</li>
<li>Пряме кріплення для стандартних капотів L494 (2013-2022)</li>
<li>Сумісність з моделями Sport та SVR</li>
<li>Покращений аеродинамічний дизайн з інтегрованими вентиляційними отворами</li>
</ul><p><br>Включає:<br></p><ul>
<li>Накладку капота з вуглецевого волокна</li>
<li>Кріпильні елементи та монтажні аксесуари</li>
</ul><p><br>Підвищіть престиж вашого Range Rover. Створено для вимогливих власників L494.<br></p>",Urban,,Hoods,"Hoods, Land Rover, Range Rover Sport L494, Urban Automotive",true,Title,Default Title,,,,,,,,URB-HOO-25353075-V1,1000.0,,999,continue,manual,45302.40,,true,true,,,,,440-0185,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_aa684061-5149-42f3-9055-f44514f334fa.png?v=1770387878,1,Urban Automotive — зображення скоро з'явиться,false,Карбонова накладка на капот Range Rover L494 з карбонового волокна,Карбонова накладка на капот Range Rover L494 з карбонового. URBAN Automotive для Land Rover Range Rover Sport L494. Офіційний дилер в Україні.,,,,,,,,,,,,"Карбонова накладка на капот Range Rover L494 Visual Carbon Fibre top Vent Bonnet Overlay розроблена, щоб змінити зовнішній вигляд передньої частини вашого автомобіля за допомогою автентичного стилю з карбонового волокна. Спроектована з ювелірною точністю для моделей Range Rover L494, включаючи варіанти Sport і SVR, ця карбонова панель, виготовлена з високою точністю, забезпечує агресивне візуальне поліпшення, зберігаючи при цьому заводську функціональність капота.Цей елемент стайлінгу є бездоганним втіленням філософії автоспорту, гармонійно поєднаної з британською вишуканістю повнорозмірного Luxury SUV. Візуальна конструкція з вуглецевого волокна додає глибини та текстури профілю вашого Range Rover, створюючи неповторний вигляд, який привертає увагу як на дорозі, так і на узбіччі.Основні характеристики: Візуальна конструкція з вуглецевого волокна з автентичним ві",Land Rover,'605.0,Range Rover Sport L494,605.0,Land Rover Range Rover Sport L494,,,,,,,kg,,605.00,active
urb-dif-25358238-v1,Комплект задніх дифузорів Audi RSQ8 Facelift Visual з карбонового волокна - сатин (не сумісний з буксирним гаком),"<p>Комплект заднього дифузора Audi RSQ8 Facelift Visual Carbon Fibre розроблений для того, щоб змінити зовнішній вигляд задньої частини вашого потужного SUV. Розроблений для оновленої платформи RSQ8, цей дифузор з вуглецевого волокна створює агресивний візуальний ефект, зберігаючи при цьому якість установки та обробки на рівні OEM.</p><p>Цей комплект заднього дифузора є ідеальним поєднанням дизайну, натхненного автоспортом, та високоякісних матеріалів. Виготовлений з натурального вуглецевого волокна з вишуканою сатиновою обробкою, він підкреслює вже й так імпозантний вигляд RSQ8, додаючи стиль, орієнтований на продуктивність, який виділяє ваш автомобіль серед стандартних моделей.</p><p><br>Основні характеристики:<br></p><ul>
<li>Конструкція з справжнього вуглецевого волокна з високоякісним сатиновим покриттям</li>
<li>Спеціально розроблений для моделей RSQ8 Facelift з точним OEM-пасуванням</li>
<li>Міцне захисне покриття, стійке до УФ-випромінювання, для довготривалого збереження зовнішнього вигляду</li>
<li>Агресивний дизайн дифузора, що доповнює характерні характеристики RSQ8</li>
</ul><p><br>В комплекті<br></p><ul>
<li>Повний комплект заднього дифузора з вуглецевого волокна</li>
<li>Кріпильні деталі та компоненти для монтажу</li>
</ul><p><br>Створено для впливу. Створено для шанувальників RSQ8.<br></p>",Urban,,Diffusers,"Audi, Diffusers, RS Q8, Urban Automotive",true,Title,Default Title,,,,,,,,URB-DIF-25358238-V1,1000.0,,999,continue,manual,224265.60,,true,true,,,,,410-0073/8/9,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_7f11e5ed-cfd2-47ab-b2c7-5c97cf4c1351.png?v=1770387878,1,Urban Automotive — зображення скоро з'явиться,false,Комплект задніх дифузорів Audi RSQ8 Facelift Visual з карбонового,Комплект задніх дифузорів Audi RSQ8 Facelift Visual з карбонового волокна. URBAN Automotive для Audi RS Q8. Офіційний дилер в Україні. Доставка по Україні.,,,,,,,,,,,,"Комплект заднього дифузора Audi RSQ8 Facelift Visual Carbon Fibre розроблений для того, щоб змінити зовнішній вигляд задньої частини вашого потужного SUV. Розроблений для оновленої платформи RSQ8, цей дифузор з вуглецевого волокна створює агресивний візуальний ефект, зберігаючи при цьому якість установки та обробки на рівні OEM.Цей комплект заднього дифузора є ідеальним поєднанням дизайну, натхненного автоспортом, та високоякісних матеріалів. Виготовлений з натурального вуглецевого волокна з вишуканою сатиновою обробкою, він підкреслює вже й так імпозантний вигляд RSQ8, додаючи стиль, орієнтований на продуктивність, який виділяє ваш автомобіль серед стандартних моделей.Основні характеристики: Конструкція з справжнього вуглецевого волокна з високоякісним сатиновим покриттям Спеціально розро",Audi,'2995.0,RS Q8,2995.0,Audi RS Q8,,,,,,,kg,,2995.00,active
urb-whe-26009265-v1,"22"" WX2 - 5x120 - ET25 - Satin Black - задній (L663)","",Urban,,Wheels,"Defender L663, Land Rover, Urban Automotive, Wheels",true,Title,Default Title,,,,,,,,URB-WHE-26009265-V1,1000.0,,999,continue,manual,58780.80,,true,true,,,,,100-0106,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_57cd7688-c925-4977-b229-b5b072bee940.png?v=1770387877,1,Urban Automotive — зображення скоро з'явиться,false,,"22"" WX2 - 5x120 - ET25 - Satin Black - задній (L663). URBAN Automotive для Land Rover Defender L663. Офіційний дилер в Україні. Доставка по Україні.",,,,,,,,,,,,,Land Rover,'785.0,Defender L663,785.0,Land Rover Defender L663,,,,,,,kg,,785.00,active
urb-whe-26009354-v1,"Болти конічні 50x1,5 мм - Lamborghini Urus","",Urban,,Wheel nuts,"Lamborghini, Urban Automotive, Urus, Wheel nuts",true,Title,Default Title,,,,,,,,URB-WHE-26009354-V1,1000.0,,999,continue,manual,7862.40,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_9e2308d1-e38c-4aa2-99df-ccf18ad31815.png?v=1770387877,1,Urban Automotive — зображення скоро з'явиться,false,,"Болти конічні 50x1,5 мм - Lamborghini Urus. URBAN Automotive для Lamborghini Urus. Офіційний дилер в Україні. Доставка по Україні.",,,,,,,,,,,,,Lamborghini,'105.0,Urus,105.0,Lamborghini Urus,,,,,,,kg,,105.00,active
urb-bod-25353068-v1,"Range Rover L494 URBAN Аеродинамічний обвіс, Спорт (2018 - 2022):","<p>Аеродинамічний обвіс Range Rover L494 URBAN розроблений, щоб змінити стиль передньої частини вашого Sport, надавши йому агресивний, сучасний вигляд. Цей обвіс, розроблений для моделей Range Rover Sport 2018-2022 років, забезпечує покращений візуальний ефект, зберігаючи при цьому бездоганну інтеграцію з заводськими точками кріплення.</p><p>Дизайн бамперів Urban Automotive створений для підкреслення імпозантного вигляду вашого Range Rover Sport. Цей комплексний комплект надає автомобілю свіжий, впевнений вигляд, що доповнює його динамічні можливості, зберігаючи при цьому вишукану розкіш, яка характеризує бренд Range Rover.</p><p><br>Основні характеристики:<br></p><ul>
<li>Дизайн, що безпосередньо замінює заводське обладнання</li>
<li>Інженерія, специфічна для автомобіля, для шасі L494 Sport</li>
<li>Міцна конструкція, створена для щоденних потреб водіння</li>
<li>Сучасний стиль, що покращує аеродинамічний вигляд</li>
</ul><p><br>Включає:<br></p><ul>
<li>Повний комплект переднього бампера</li>
<li>Кріпильні деталі та компоненти для монтажу</li>
</ul><p><br>Сміливий дизайн. Вишукане виконання. Створено для вимогливих шанувальників Range Rover.<br></p>",Urban,,Bodykits,"Bodykits, Land Rover, Range Rover Sport L494, Urban Automotive",true,Title,Default Title,,,,,,,,URB-BOD-25353068-V1,1000.0,,999,continue,manual,1184601.60,,true,true,,,,,050-2001,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_bf934dc7-dbce-4a21-8c57-8af35a133f1f.png?v=1770387876,1,Urban Automotive — зображення скоро з'явиться,false,,"Range Rover L494 URBAN Аеродинамічний обвіс, Спорт (2018. URBAN Automotive для Land Rover Range Rover Sport L494. Офіційний дилер в Україні.",,,,,,,,,,,,"Аеродинамічний обвіс Range Rover L494 URBAN розроблений, щоб змінити стиль передньої частини вашого Sport, надавши йому агресивний, сучасний вигляд. Цей обвіс, розроблений для моделей Range Rover Sport 2018-2022 років, забезпечує покращений візуальний ефект, зберігаючи при цьому бездоганну інтеграцію з заводськими точками кріплення.Дизайн бамперів Urban Automotive створений для підкреслення імпозантного вигляду вашого Range Rover Sport. Цей комплексний комплект надає автомобілю свіжий, впевнений вигляд, що доповнює його динамічні можливості, зберігаючи при цьому вишукану розкіш, яка характеризує бренд Range Rover.Основні характеристики: Дизайн, що безпосередньо замінює заводське обладнання Інженерія, специфічна для автомобіля, для шасі L494 Sport Міцна конструкція, створена д",Land Rover,'15820.0,Range Rover Sport L494,15820.0,Land Rover Range Rover Sport L494,,,,,,,kg,,15820.00,active
urb-bod-25353062-v1,"Range Rover L494 URBAN Аеродинамічний обвіс, Спорт (2013 - 2017):","<p>Аеродинамічний обвіс Range Rover L494 URBAN розроблений, щоб перетворити ваш Sport на імпозантний автомобіль з агресивним стилем. Ця повна система обвісу, розроблена для моделей Range Rover Sport 2013-2017 років, забезпечує покращену аеродинамічну естетику, зберігаючи заводський рівень якості та обробки.</p><p>Комплекти бамперів Urban призначені для ентузіастів, які прагнуть підкреслити виразність свого автомобіля на дорозі без шкоди для його повсякденної практичності. Ця комплексна система заміни пропонує сміливу альтернативу стандартному кузову, створюючи основу для справді неповторного дизайну.</p><p><br>Основні характеристики:<br></p><ul>
<li>Точно спроектована конструкція, розроблена для безшовної інтеграції з оригінальним обладнанням</li>
<li>Оптимізоване під конкретну модель автомобіля кріплення для шасі L494 Sport</li>
<li>Міцні матеріали, здатні витримувати щоденні умови експлуатації</li>
<li>Покращений аеродинамічний профіль з агресивним стилем Urban</li>
</ul><p><br>Включає:<br></p><ul>
<li>Повний комплект переднього бампера</li>
<li>Заводське кріплення та компоненти для монтажу</li>
</ul><p><br>Сміливий зовнішній вигляд. Створено для вулиць.<br></p>",Urban,,Bodykits,"Bodykits, Land Rover, Range Rover Sport L494, Urban Automotive",true,Title,Default Title,,,,,,,,URB-BOD-25353062-V1,1000.0,,999,continue,manual,903801.60,,true,true,,,,,URBPKG-5,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_5d44ee01-5031-4559-a88b-7c723ae03966.png?v=1770387876,1,Urban Automotive — зображення скоро з'явиться,false,,"Range Rover L494 URBAN Аеродинамічний обвіс, Спорт (2013. URBAN Automotive для Land Rover Range Rover Sport L494. Офіційний дилер в Україні.",,,,,,,,,,,,"Аеродинамічний обвіс Range Rover L494 URBAN розроблений, щоб перетворити ваш Sport на імпозантний автомобіль з агресивним стилем. Ця повна система обвісу, розроблена для моделей Range Rover Sport 2013-2017 років, забезпечує покращену аеродинамічну естетику, зберігаючи заводський рівень якості та обробки.Комплекти бамперів Urban призначені для ентузіастів, які прагнуть підкреслити виразність свого автомобіля на дорозі без шкоди для його повсякденної практичності. Ця комплексна система заміни пропонує сміливу альтернативу стандартному кузову, створюючи основу для справді неповторного дизайну.Основні характеристики: Точно спроектована конструкція, розроблена для безшовної інтеграції з оригінальним обладнанням Оптимізоване під конкретну модель автомобіля кріплення для шасі L494 Sport Міцн",Land Rover,'12070.0,Range Rover Sport L494,12070.0,Land Rover Range Rover Sport L494,,,,,,,kg,,12070.00,active
urb-bun-25358150-v1,Карбоновий обвіс кузова Bentley Continental GT URBAN GT Carbon Fibre,"<p>Комплект обвісу Bentley Continental GT URBAN GT Carbon Fibre Bodykit розроблений для того, щоб змінити зовнішній вигляд вашого Continental GT. Цей комплексний аеродинамічний пакет, розроблений спеціально для флагманського гранд-турера Bentley, забезпечує покращений стиль і агресивну естетику, зберігаючи при цьому вишуканий характер автомобіля.</p><p>Цей комплект кузова є вершиною вдосконалення зовнішнього вигляду автомобіля, поєднуючи легку конструкцію з вуглецевого волокна з точним інженерним дизайном. Кожен компонент розроблений так, щоб доповнювати плавні лінії Continental GT, додаючи виразну орієнтовану на продуктивність перевагу, яка виділяє ваш автомобіль серед стандартних моделей.</p><p><br>Основні характеристики:<br></p><ul>
<li>Високоякісна конструкція з вуглецевого волокна з високоякісним покриттям</li>
<li>Розроблений для точного монтажу на моделях Bentley Continental GT</li>
<li>Професійні матеріали, створені для довговічності та міцності</li>
<li>Агресивний стиль, що підкреслює імпозантний вигляд автомобіля на дорозі</li>
</ul><p><br>Включає:<br></p><ul>
<li>Повний комплект компонентів обвісу з вуглецевого волокна</li>
<li>Кріпильні деталі та аксесуари для монтажу</li>
</ul><p><br>Розкрийте весь візуальний потенціал вашого Continental GT. Створено для вимогливих ентузіастів.<br></p>",Urban,,Bundles,"Bentley, Bundles, Continental GT, Urban Automotive",true,Title,Default Title,,,,,,,,URB-BUN-25358150-V1,1000.0,,999,continue,manual,2296569.60,,true,true,,,,,050-0024/050-0132,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_1d60537e-d623-4a6b-95e5-e733faf83710.png?v=1770387875,1,Urban Automotive — зображення скоро з'явиться,false,,Карбоновий обвіс кузова Bentley Continental GT URBAN GT Carbon. URBAN Automotive для Bentley Continental GT. Офіційний дилер в Україні.,,,,,,,,,,,,"Комплект обвісу Bentley Continental GT URBAN GT Carbon Fibre Bodykit розроблений для того, щоб змінити зовнішній вигляд вашого Continental GT. Цей комплексний аеродинамічний пакет, розроблений спеціально для флагманського гранд-турера Bentley, забезпечує покращений стиль і агресивну естетику, зберігаючи при цьому вишуканий характер автомобіля.Цей комплект кузова є вершиною вдосконалення зовнішнього вигляду автомобіля, поєднуючи легку конструкцію з вуглецевого волокна з точним інженерним дизайном. Кожен компонент розроблений так, щоб доповнювати плавні лінії Continental GT, додаючи виразну орієнтовану на продуктивність перевагу, яка виділяє ваш автомобіль серед стандартних моделей.Основні характеристики: Високоякісна конструкція з вуглецевого волокна з високоякісним покриттям Розроблений дл",Bentley,'30670.0,Continental GT,30670.0,Bentley Continental GT,,,,,,,kg,,30670.00,active
urb-whe-26009355-v1,"Болти конічні 45x1,5 мм - Bentley GT / EQC","",Urban,,Wheel nuts,"EQC, Mercedes-Benz, Urban Automotive, Wheel nuts",true,Title,Default Title,,,,,,,,URB-WHE-26009355-V1,1000.0,,999,continue,manual,7862.40,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_1047c5ca-f72e-41e0-af9a-b0cb3b467654.png?v=1770387874,1,Urban Automotive — зображення скоро з'явиться,false,,"Болти конічні 45x1,5 мм - Bentley GT / EQC. URBAN Automotive для Mercedes-Benz EQC. Офіційний дилер в Україні. Доставка по Україні.",,,,,,,,,,,,,Mercedes-Benz,'105.0,EQC,105.0,Mercedes-Benz EQC,,,,,,,kg,,105.00,active
urb-exh-25353064-v1,Вихлопна система Range Rover L494,"<p>Вихлопна система Range Rover L494 розроблена для поліпшення акустичних характеристик і потенціалу продуктивності вашого розкішного SUV. Спроектована з ювелірною точністю для Range Rover четвертого покоління, ця вихлопна система забезпечує поліпшену динаміку вихлопного потоку, зберігаючи при цьому вишукану якість, очікувану від преміальної платформи.</p><p>Підхід Urban до проектування вихлопної системи Range Rover зосереджений на балансі між підвищенням продуктивності та вишуканістю шасі L494. Ця система створена для доповнення розкішних характеристик автомобіля, одночасно розкриваючи потенціал для більш захоплюючого досвіду водіння.</p><p><br>Основні характеристики:<br></p><ul>
<li>Точно спроектована конструкція, розроблена для моделей Range Rover L494</li>
<li>Пряма установка з використанням заводських кріплень</li>
<li>Міцні матеріали, здатні витримувати різні умови водіння</li>
<li>Вдосконалене акустичне налаштування, відповідне для розкішних SUV</li>
</ul><p><br>Включає:<br></p><ul>
<li>Повний комплект компонентів вихлопної системи</li>
<li>Кріпильні деталі та прокладки</li>
</ul><p><br>Підвищена продуктивність. Вишуканий вигляд. Створено для сучасного Range Rover.<br></p>",Urban,,Exhaust,"Exhaust, Land Rover, Range Rover Sport L494, Urban Automotive",true,Title,Default Title,,,,,,,,URB-EXH-25353064-V1,1000.0,,999,continue,manual,67392.00,,true,true,,,,,300-1001,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_905a07a3-75f4-4183-9150-c8b3cba64050.png?v=1770387874,1,Urban Automotive — зображення скоро з'явиться,false,,Вихлопна система Range Rover L494. URBAN Automotive для Land Rover Range Rover Sport L494. Офіційний дилер в Україні. Доставка по Україні.,,,,,,,,,,,,"Вихлопна система Range Rover L494 розроблена для поліпшення акустичних характеристик і потенціалу продуктивності вашого розкішного SUV. Спроектована з ювелірною точністю для Range Rover четвертого покоління, ця вихлопна система забезпечує поліпшену динаміку вихлопного потоку, зберігаючи при цьому вишукану якість, очікувану від преміальної платформи.Підхід Urban до проектування вихлопної системи Range Rover зосереджений на балансі між підвищенням продуктивності та вишуканістю шасі L494. Ця система створена для доповнення розкішних характеристик автомобіля, одночасно розкриваючи потенціал для більш захоплюючого досвіду водіння.Основні характеристики: Точно спроектована конструкція, розроблена для моделей Range Rover L494 Пряма установка з використанням заводських кріплень Міцні матеріали, здатні витримувати різні ",Land Rover,'900.0,Range Rover Sport L494,900.0,Land Rover Range Rover Sport L494,,,,,,,kg,,900.00,active
urb-hoo-25358180-v1,"Карбоновий капот Lamborghini Urus S / Performante в зборі, включаючи подвійні карбонові вентиляційні отвори та центральний повітрозабірник","<p>Капот Lamborghini Urus S / Performante з вуглецевого волокна розроблений для забезпечення агресивного стилю та покращеної аеродинаміки. Розроблений для високопродуктивних варіантів Urus, цей повний замінник капота забезпечує переваги легкої конструкції, зберігаючи при цьому точність монтажу та заводські стандарти якості.</p><p>Карбонові капоти є вершиною модифікації зовнішнього вигляду автомобіля, поєднуючи потенціал зниження ваги з безперечним візуальним ефектом. Цей комплектний капот усуває необхідність у використанні декількох компонентів, пропонуючи комплексне рішення для власників Urus, які прагнуть підвищити презентабельність та експлуатаційні характеристики свого автомобіля.</p><p><br>Основні характеристики:<br></p><ul>
<li>Високоякісна конструкція з вуглецевого волокна для всіх компонентів капота та вентиляційних отворів</li>
<li>Конструкція, розроблена для прямої заміни моделей Urus S і Performante</li>
<li>Інтегровані подвійні карбонові вентиляційні отвори та центральний повітрозабірник для цілісного естетичного вигляду</li>
<li>Повна збірка, готова до встановлення з заводськими точками кріплення</li>
</ul><p><br>Включає:<br></p><ul>
<li>Карбоновий капот</li>
<li>Подвійні вентиляційні отвори з вуглецевого волокна</li>
<li>Центральний впускний компонент</li>
</ul><p><br>Розкрийте потенціал свого Urus. Створено для супер-SUV.<br></p>",Urban,,Hoods,"Hoods, Lamborghini, Urban Automotive, Urus",true,Title,Default Title,,,,,,,,URB-HOO-25358180-V1,1000.0,,999,continue,manual,733824.00,,true,true,,,,,050-0086,https://cdn.shopify.com/s/files/1/0612/7383/3557/files/placeholder_urban_a192e0e3-074e-4c42-9be7-7c98613e5009.png?v=1770387873,1,Urban Automotive — зображення скоро з'явиться,false,"Карбоновий капот Lamborghini Urus S / Performante в зборі, включаючи","Карбоновий капот Lamborghini Urus S / Performante в зборі, включаючи. URBAN Automotive для Lamborghini Urus. Офіційний дилер в Україні. Доставка по Україні.",,,,,,,,,,,,"Капот Lamborghini Urus S / Performante з вуглецевого волокна розроблений для забезпечення агресивного стилю та покращеної аеродинаміки. Розроблений для високопродуктивних варіантів Urus, цей повний замінник капота забезпечує переваги легкої конструкції, зберігаючи при цьому точність монтажу та заводські стандарти якості.Карбонові капоти є вершиною модифікації зовнішнього вигляду автомобіля, поєднуючи потенціал зниження ваги з безперечним візуальним ефектом. Цей комплектний капот усуває необхідність у використанні декількох компонентів, пропонуючи комплексне рішення для власників Urus, які прагнуть підвищити презентабельність та експлуатаційні характеристики свого автомобіля.Основні характеристики: Високоякісна конструкція з вуглецевого волокна для всіх компонентів капота та вентиляційних о",Lamborghini,'9800.0,Urus,9800.0,Lamborghini Urus,,,,,,,kg,,9800.00,active
